Year,Measles Cases
1944,630291
1945,146013
1946,659843
1947,222375
1948,615104
1949,625281
1950,319124
1951,530118
1952,683077
1953,449146
1954,682720
1955,555156
1956,611936
1957,486799
1958,763094
1959,406162
1960,441703
1961,423919
1962,481530
1963,385156
1964,458083
1965,261904
1966,204136
1967,62705
1968,22231
1969,25826
1970,47351
1971,75290
1972,32275
1973,26690
1974,22094
1975,24374
1976,41126
1977,57345
1978,26871
1979,13597
1980,13506
1981,3124
1982,1714
1983,1497
1984,2587
1985,2822
1986,6282
1987,3655
1988,3396
1989,18193
1990,27786
1991,9643
1992,2237
1993,312
1994,963
1995,309
1996,508
1997,138
1998,100
1999,100
2000,86
2001,116
2002,44
2003,56
2004,37
2005,66
2006,55
2007,43
2008,140
2009,71
2010,63
2011,220
2012,55
2013,187
2014,667
2015,188
2016,86
2017,120
2018,372
2019,1250
